"group","id","item","RT","R","compromised"
0,1,1,68.3876925152847,0,0
0,2,1,198.306716250691,0,0
0,3,1,33.5232066827449,0,0
0,4,1,42.2283674955263,1,0
0,5,1,12.0903632418832,0,0
1,6,1,137.364665081261,1,0
0,7,1,16.8603615397275,0,0
1,8,1,84.4736487548377,1,0
0,9,1,37.3177968677409,0,0
0,10,1,15.4163529800624,0,0
0,11,1,12.5669270082684,0,0
0,12,1,40.3675435225689,0,0
0,13,1,31.115613674019,0,0
0,14,1,13.6884345983949,0,0
0,15,1,22.5521814015722,1,0
0,16,1,25.548174372716,1,0
0,17,1,20.5837547982371,0,0
0,18,1,96.2985685378011,0,0
1,19,1,19.1202392711674,1,0
0,20,1,69.3791433495165,0,0
0,21,1,39.3739701318295,1,0
0,22,1,79.930407207655,0,0
0,23,1,94.3185588864343,0,0
0,24,1,28.4332756312023,0,0
0,25,1,50.7145613508387,0,0
1,26,1,44.6839169454613,1,0
0,27,1,37.5891647250121,0,0
0,28,1,11.0712660926669,1,0
0,29,1,42.9880871296028,0,0
1,30,1,33.5034262650124,1,0
0,31,1,15.8233833751785,0,0
0,32,1,74.2308133105894,0,0
0,33,1,12.6613146731887,0,0
0,34,1,29.847813192845,0,0
0,35,1,26.4206834326415,1,0
0,36,1,60.0086001766687,1,0
0,37,1,35.749106609598,0,0
1,38,1,8.09652414092589,0,0
0,39,1,34.9452535732245,1,0
1,40,1,88.0570285793499,0,0
0,41,1,11.0927897978546,0,0
0,42,1,66.7520309054836,0,0
0,43,1,124.223253920004,0,0
0,44,1,20.2294883755679,1,0
0,45,1,44.9939601425787,0,0
1,46,1,32.4532260812846,1,0
0,47,1,82.6925808581069,0,0
1,48,1,36.9756146589086,1,0
0,49,1,24.4354926979782,1,0
1,50,1,19.533455546112,1,0
1,51,1,39.360982837853,1,0
1,52,1,7.36171780673693,0,0
0,53,1,28.3718552624737,0,0
0,54,1,70.2546978554557,0,0
0,55,1,10.0810626871594,1,0
0,56,1,20.5329750948428,0,0
0,57,1,6.69702768454116,0,0
0,58,1,57.5950540901594,0,0
1,59,1,32.1690478072884,1,0
0,60,1,33.600633258257,1,0
1,61,1,45.2220633386307,0,0
0,62,1,12.7068304238066,1,0
0,63,1,38.056543110899,0,0
1,64,1,57.2374986240261,1,0
0,65,1,37.6164003059802,1,0
0,66,1,21.7644952880086,1,0
0,67,1,15.5366184751278,1,0
0,68,1,40.2364951604677,1,0
0,69,1,96.6179271330822,0,0
0,70,1,64.7098821476269,1,0
0,71,1,31.6722231687473,0,0
0,72,1,43.0118760092088,1,0
0,73,1,218.239319592016,1,0
0,74,1,8.29323616301869,1,0
0,75,1,27.546581032578,1,0
1,76,1,18.3526275391815,0,0
0,77,1,76.6190814184729,0,0
1,78,1,139.44391365388,1,0
1,79,1,23.5773620415641,1,0
0,80,1,7.73201229976831,1,0
0,81,1,19.8019256864914,0,0
0,82,1,47.4331589475683,0,0
0,83,1,13.9204584758702,0,0
0,84,1,13.2589111465933,1,0
0,85,1,76.0078673862466,1,0
0,86,1,20.0571320591607,0,0
0,87,1,14.3087903748857,1,0
0,88,1,13.6290596836415,0,0
0,89,1,7.68115253587703,0,0
0,90,1,83.8677780505346,0,0
0,91,1,26.1483858632752,0,0
0,92,1,22.6112593443646,1,0
0,93,1,27.7412675638716,0,0
1,94,1,9.07725800458017,0,0
0,95,1,58.905002690219,0,0
0,96,1,17.9364277807812,1,0
0,97,1,13.7312072363752,0,0
0,98,1,3.47513293599722,0,0
1,99,1,41.0414335973768,1,0
0,100,1,17.6735452737937,0,0
0,101,1,283.019812832457,0,0
0,102,1,16.5123653980421,0,0
0,103,1,43.1937568791058,1,0
0,104,1,10.1329288499374,0,0
0,105,1,162.071716283404,1,0
0,106,1,17.7674627489433,0,0
1,107,1,24.4065911663652,0,0
0,108,1,27.8108371167509,1,0
0,109,1,12.1919121777299,0,0
0,110,1,33.5756273461951,1,0
0,111,1,26.7831473971515,1,0
0,112,1,9.65886956299933,0,0
0,113,1,75.9582278147622,0,0
0,114,1,29.1583974972991,1,0
1,115,1,60.4076136786691,0,0
1,116,1,30.2302956253078,1,0
0,117,1,40.1388309071886,0,0
1,118,1,54.4201049709666,0,0
0,119,1,41.1966004109799,1,0
0,120,1,13.8699517827671,0,0
